Variant,Era,Query
XBB.1.5,"Jan 16, 2023 - July 17, 2023",2023-01-16-2023-07-17
BQ.1,"Nov 21, 2022 - Jan 16, 2023",2022-11-21-2023-01-16
BA.5,"June 20, 2022 - Nov 21, 2022",2022-07-20-2022-11-21
BA.2.12.1,"May 9, 2022 - June 20, 2022",2022-05-09-2022-07-20
BA.2,"Mar 14, 2022 - May 9, 2022",2022-03-14-2022-05-09
BA.1,"Dec 20, 2021 - Mar 14, 2022",2021-12-20-2022-03-14
B.1.617.2 (Delta),"July 5, 2021 - Dec 20, 2021",2021-07-05-2021-12-20
B.1.1.7 (Alpha),"Mar 15, 2021 - June 7, 2021",2021-03-15-2021-07-05
Pre-Alpha,2020-01-01-2021-03-15,2020-01-01-2021-03-15
